Beach_Name,URL_Code,Latitude,Longitude
12th Street Beach,12th-Street-Beach,,
31st Street Beach,31st-Street-Beach,,
57th Street Beach,57th-Street-Beach,,
63rd Street Beach,63rd-Street-Beach,,
Calumet Beach,Calumet-Beach,,
Columbia Beach,Columbia-Beach,,
Fargo Beach,Fargo-Beach,,
Foster Beach,Foster-Beach,,
Hartigan Beach,Hartigan-Beach,,
Howard Beach,Howard-Beach,,
Humboldt Beach,Humboldt-Beach,,
Juneway Beach,Juneway-Beach,,
Lane Beach,Lane-Beach,,
Leone Beach,Leone-Beach,,
Loyola Beach,Loyola-Beach,,
Marion Mahoney Griffin Beach,Marion-Mahoney-Griffin-Beach,,
Montrose Beach,Montrose-Beach,,
North Avenue Beach,North-Avenue-Beach,,
North Shore Beach,North-Shore-Beach,,
Oak Street Beach,Oak-Street-Beach,,
Oakwood Beach,Oakwood-Beach,,
Ohio Street Beach,Ohio-Street-Beach,,
Osterman Beach,Osterman-Beach,,
Rainbow Beach,Rainbow-Beach,,
Rogers Beach,Rogers-Beach,,
South Shore Beach,South-Shore-Beach,,
Tobey Prinz Beach,Tobey-Prinz-Beach,,